ID,CAT DEPTO,CAT MUN,REGION,DEPARTAME_COD,DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,MUNICIPIO_COD,LIN BASE 2014,META,AVA,PER INSC REG,PER INSC,PER BEN EMP,PER BEN BOOTSCAMPS,PER CAP EMP,PER GRAD,EQU ACOMP,EQU ETP TEMP,EQU ETP MAD,CAMB JUEG,AYUDAPPS,TOT STAR UPS,INV MINTIC EJEC,INV MINITC PROY,POR INV MINITC,INV CONTR EJEC,CONTR PROY,INV MINTIC PROY CONT,COSTO,ID_INDICADOR,FECHA CARGUE,FECHA VIGENCIA,META1
54599,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,RAGONVALIA,54599,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
41244,,,Regi�n Centro Sur,41,HUILA,ELIAS,41244,0,30000,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
5031,,,Regi�n Eje Cafetero,05,ANTIOQUIA,AMALFI,05031,0,52000,0,0,0,1,1,0,0,0,0,0,0,0,0,"12564,00","12564,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
5120,,,Regi�n Eje Cafetero,05,ANTIOQUIA,CACERES,05120,0,30000,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
15425,,,Regi�n Centro Orient,15,BOYACA,MACANAL,15425,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Centro Orient,15,BOYACA,VENTAQUEMADA,15861,5,Por demanda,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Llano,50,META,VILLAVICENCIO,50001,327,Por demanda,0,0,0,408,408,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
52427,,,Regi�n Pac�fico,52,NARI�O,MAGsI,52427,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Centro Sur,18,CAQUETA,CARTAGENA DEL CHAIRA,18150,1,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
47605,,,Regi�n Caribe,47,MAGDALENA,REMOLINO,47605,0,52000,0,0,0,1,1,0,0,0,0,0,0,0,0,"12564,00","12564,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
